Question,Solution
"A standing wave is formed by the superposition of two waves travelling in opposite directions. The transverse displacement is given by y(x,t)= 0.5sin[(5π/4)x]cos(200πt). What is the speed of the travelling wave moving in the positive x-direction? (x and t are in meter and second, respectively)
(a) 180 m/s
(b) 160 m/s
(c) 120 m/s
(d) 90 m/s","Given y(x,t)= 0.5sin[(5π/4)x]cos(200πt). Comparing this equation with standard equation of standing wave, y(x, t) = 2a sin kx cosωt, we get, k = 5π/4 rad/m, ω = 200 rad/s. Speed of the travelling wave, v = ω/k = 200π/(5π/4) = 160 m/s. Answer: (b) 160 m/s"
"Length of a string tied to two rigid supports is 40 cm. Maximum length (wavelength in cm) of a stationary wave produced on it is
(a) 20
(b) 80
(c) 40
(d) 120",λmax/2 = 40 ⇒ λmax = 80 cm. Answer: (b) 80
"Statement-1:Two longitudinal waves given by equations y1(x,t)=2asin(ωt – kx) and y2(x,t)=2asin(2ωt – 2kx) will have equal intensity. Statement-2: Intensity of waves of given frequency in the same medium is proportional to square of amplitude only.
(a) Statement-1 is false, statement-2 is true
(b) Statement-1 is true, statement-2 is false
(c) Statement-1 is true, statement-2 true; statement-2 is the correct explanation of statement-1
(d) Statement-1 is true, statement-2 is true; statement -2 is not correct explanation of statement-1","y1(x,t) = 2asin(ωt – kx), y2(x,t) = 2asin(2ωt – 2kx). But Intensity, I = ½(ρω2A2v). Here, ρ = density of the medium, A= amplitude, v = velocity of the wave. Intensity depends upon amplitude, frequency and velocity of the wave. Also, I1 = I2. Answer: (b) Statement-1 is true, statement-2 is false"
"A pipe open at both ends has a fundamental frequency ‘f’ in air. The pipe is dipped vertically in water so that half of it is in water. The fundamental frequency of the air column is now
(a) f
(b) f/2
(c) 3f/4
(d) 2f","When the pipe is open at both ends, λ/2 = l, λ = 2l, v = fλ, f = v/λ = v/2l ———-(1). When the pipe is dipped vertically in the water so that half of the pipe is in water, λ/4 = l/2, λ = 2l ⇒v = f’λ, f’ = v/λ = v/2l =f——-(2). Thus, the fundamental frequency of the air column is now, f = f’. Answer: (a) f"
"A string of length 1 m and mass 5g is fixed at both ends. The tension in the string is 8.0 N. The string is set into vibration using an external vibrator of frequency 100 Hz. The separation between successive nodes on the string is close to
(a) 10 cm
(b) 33.3 cm
(c) 16.6 cm
(d) 20.0 cm","Velocity of the wave on the string v=√(t/μ) =√(8/5× 1000), v = 40 m/s. Here, T = tension and μ = mass/length. Wavelength of the wave λ = v/n = 40/100. Separation between successive nodes, λ/2 = 40/(2x 100) = 20 cm. Answer: (d) 20.0 cm"
"Equation of a travelling wave on a stretched string of linear density 5g/m is y=0.03sin(450t – 9x) where distance and time are measured in SI units. The tension in the string is
(a) 10 N
(b) 7.5 N
(c) 12.5 N
(d) 5 N","We have given, y = 0.03sin(450t – 9x). Comparing it with standard equation of wave, we get ω = 450  k=9. v = ω/k = 450/9 = 50m/s. Velocity of the travelling wave on a string is given by v = √(t/μ), 50 = √(T/50 × 10^{-3}). μ = linear mass density. T = 2500 x 5 x 10-3, T = 12.5 N. Answer:(c) 12.5 N"
"A musician using an open flute of length 50 cm produces second harmonic sound waves. A person runs towards the musician from another end of a hall at a speed of 10 km/h. If the wave speed is 330 m/s, the frequency heard by the running person shall be close to
A. 666 Hz
B. 753 Hz
C. 500 Hz
D. 333 Hz","Frequency of the sound produced by the open flute f=2(v/2l) = (2 x 330)/(2 x 0.5) = 660 Hz. Velocity of observer, v0 = 10 x (5/18) = (25/9) m/s. As the source is moving towards the observer, according to the Doppler effect. Frequency detected by observer f’ = {(v + v0)/v}f = {((25/9) + 330)/330}660 = 2 ((25/9) + 330). f’ = 665.55 ≈ 666 Hz"
"A source of sound S is moving with a velocity of 50 m/s towards a stationary observer. The observer measures the frequency of the source when it is moving away from the observer after crossing him? (Take the velocity of sound in air as 350 m/s)
A. 750 Hz
B. 857 Hz
C. 1143 Hz
D. 807 Hz","When source is moving towards a stationary observer, fapp = fsource {(V – 0)/(V – 50)}. 1000 = fsource (350/300). When source is moving away from observer f’ = fsource{350/(350 + 50)}. f’ = {(1000 x 300)/350} x (350/400). f’ = 750 Hz"
"Two sources of sound S1 and S2 produce sound waves of the same frequency 660 Hz. A listener is moving from source S1 towards S2 with constant speed u m/s and he hears 10 beats. The velocity of sound is 330 m/s. Then u is equals
A. 5.5 m/s
B. 15.0 m/s
C. 2.5 m/s
D. 10.0 m/s",f1 = f[(v – v0)/v]. f2 = f[(v + v0)/v]. Frequency f2 – f1= f x (2v0/v). 10 = 660 x (2u/330). u = 2.5 m/s
"A resonance tube is old and has a jagged end. It is still used in the laboratory to determine the velocity of sound in the air. A tuning fork of frequency 512 Hz produces the first resonance when the tube is filled with water to a mark 11 cm below a reference mark, near the open end of the tube. The experiment is repeated with another fork of frequency 256 Hz which produces the first resonance when water reaches a mark 27 cm below the reference mark. The velocity of sound in air, obtained in the experiment, is close to
A. 322 ms-1
B. 341 ms-1
C. 335 ms-1
D. 328 ms-1",(λ/4) = 0.11 + e. {V/(512)4} = 0.11 + e ——-(1). {V/(256)4} = 0.27 + e ——-(2). After solving (1) and (2) we get V = 328 ms-1
"A small speaker delivers 2W of audio output. At what distance from the speaker will one detect 120 dB intensity sound? (Given reference intensity of sound is 10-12 W/m2)
A. 40 cm
B. 20 cm
C. 10 cm
D. 30 cm","Using β = 10 log10(I/I0). Or 120 = 10 log 10(I/ 10-12). I/10-12 = 1012. I = 1. Also I = 1= P/4πr2 = 2/4πr2. r2  = 2/4πI = 2/4π. r2  = 2/ 4 (3.14). On solving the above equations, we get r = 40 cm"
"Two cars A and B are moving away from each other in opposite directions. Both the cars are moving at a speed of 20 m/s with respect to the ground. If an observer in car A detects a frequency of 2000 Hz of the sound coming from car B, what is the natural frequency of the sound source in car B? (speed of sound in air = 340 m/s)
A. 2250 Hz
B. 200 Hz
C. 2300 Hz
D. 2150 Hz",f’ = f{(v – v0)/(v + vs)}. 2000 = f{(340 – 20)/(340 + 20)}. f = 2250 Hz
"A person standing on an open ground hears the sound of a jet aeroplane, coming from the north at an angle 600 with ground level. But he finds the aeroplane right vertically above his position. If v is the speed of sound, the speed of the plane is
A. (√3/2) v
B. 2v/√3
C. V
D. v/2","Distance, PQ = vp x t (Distance = speed x time). Distance , QR = V.t. Cos 600 = PQ/QR. ½ = (vp x t)/( v.t). vp= v/2"
"Three sound waves of equal amplitudes have frequencies(f-1, f, f+1). They superpose to give beats. The number of beats produced per second is
A. 2
B. 1
C. 4
D. 3",Beat produced between(f-1) and f is 1. Beat produced between f and f+1 is 1. Beat produced between(f-1) and (f+1) is 2. ∴ No of beats produced per second will be 2
"A pipe of length 85 cm is closed from one end. Find the number of possible natural oscillations of the air column in the pipe whose frequencies lie below 1250 Hz. The velocity of sound in the air is 340 m/s.
A. 6
B. 4
C. 12
D. 8","Fundamental frequency of the closed organ pipe is f = v/4L. f = 340/(4 x 0.85) = 100 Hz. The natural frequencies of the closed organ pipe is fn= (2n – 1)f = f, 3f, 5f, 7f, 9f, 11f, 13f …. So the possible frequencies below 1250 Hz are fn= 100 Hz, 300 Hz, 500 Hz, 700 Hz, 900 Hz, 1100 Hz. Number of frequencies = 6"
"An observer is moving with half the speed of light towards a stationary microwave source emitting waves at frequency10 GHz. What is the frequency of the microwave measured by the observer? (speed of light = 3 x 108 m/s)
A. 17.3 GHz
B. 15.3 GHz
C. 10.1 GHz
D. 12.1 GHz","Doppler effect in light (speed of observer is not very small compared to speed of light). f’ = f .[(1 + v/c)/(1 – v/c)]½. Here, frequency (v/c) = ½. So, f’ = f .[(3/2)/(1/2)]½. f’ = 10 x √3 = 17.3 GHz"
"A solid sphere of radius R acquires a terminal velocity v1 when falling (due to gravity) through a viscous fluid having a coefficient of viscosity η. The sphere is broken into 27 identical spheres. If each of these acquires a terminal velocity v2, when falling through the same fluid, the ratio (v1/v2) equals
A. 9
B. 1/27
C. 1/9
D. 27","27 x (4/3)πr3 = (4/3)πR3. Or r = R/3. Terminal velocity, v ∝ r3. Therefore, (v1/v2) = (R2/r2). v1/v2= [R/(R/3)]2= 9. (v1/v2) = 9. Answer: (a) 9"
"Spherical balls of radius R are falling in a viscous fluid of viscosity with a velocity v. The retarding viscous force acting on the spherical ball is
A. directly proportional to R but inversely proportional to v
B. directly proportional to both radius R and velocity v
C. inversely proportional to both radius R and velocity v
D. inversely proportional to R but directly proportional to velocity v",Retarding viscous force = 6πηRv. obviously option (b) holds goods. Answer: (b) directly proportional to both radius R and velocity v
"A long cylindrical vessel is half-filled with a liquid. When the vessel is rotated about its own vertical axis, the liquid rises up near the wall. If the radius of the vessel is 5 cm and its rotational speed is 2 rotations per second, then the difference in the heights between the centre and the sides, in cm, will be
A. 0.4
B. 2.0
C. 0.1
D. 1.2","The linear speed of the liquid at the sides is rω. So, the difference in height is given as follows: 2gh = ω2r2. h = ω2r2/2g. here ω = 2πf. Therefore, h = [(2 x 2π)2(5 x 10-2)2]/(2×10) = 2cm. Answer: (b) 2.0"
"Water is flowing continuously from a tap having an internal diameter 8 × 10–3 m. The water velocity as it leaves the tap is 0.4 ms–1. The diameter of the water stream at a distance 2 × 10–1 m below the tap is close to
A. 5.0 × 10–3 m
B. 7.5 × 10–3 m
C. 9.6 × 10–3 m
D. 3.6 × 10–3 m","Here, d1 = 8 × 10–3 m, v1 = 0.4 m s–1, h = 0.2 m. According to equation of motion, v2=√(v12+2gh)=√((0.4)2+2+10×0.2) = 2 m s–1. According to equation of continuity a1v1 = a2v2. (πD12/4) v1 = (πD22/4) v2. D22 = (v1/v2)D12. D2 = [√(v1/v2)]D1= [√(0.4/2)]x 8 × 10–3 m. D2 = 3.6 × 10–3 m. Answer: (d) 3.6 × 10–3 m"
"A 20 cm long capillary tube is dipped in water. The water rises up to 8 cm. If the entire arrangement is put in a freely falling elevator the length of the water column in the capillary tube will be
A. 4 cm
B. 20 cm
C. 8 cm
D. 10 cm","In a freely falling elevator, g = 0 Water will rise to the full length i.e., 20 cm to tube. Answer: (b) 20 cm"
"A spherical solid ball of volume V is made of a material of density ρ1. It is falling through a liquid of density ρ2 (ρ2 < 1). Assume that the liquid applies a viscous force on the ball that is proportional to the square of its speed v, i.e., Fviscous = –kv2 (k > 0). The terminal speed of the ball is
A. Vg(ρ1  – ρ2)
B. √(Vg(ρ1 – ρ2)/k)
C. Vgρ1/k
D. √(Vgρ1/k)","The forces acting on the solid ball when it is falling through a liquid is “mg” downwards, thrust by Archimedes principle upwards and the force due to the force of friction also acting upwards. The viscous force rapidly increases with velocity, attaining a maximum when the ball reaches the terminal velocity. Then the acceleration is zero. mg – Vρ2g – kvt2 = ma where V is volume, vt is the terminal velocity. When the ball is moving with terminal velocity, a = 0. Therefore Vρ1g – Vρ2g – kvt2 = 0. v_t = √(Vg(ρ1 – ρ2)/k). Answer: (b)"
"Water flows into a large tank with a flat bottom at the rate of 10-4 m3s-1. Water is also leaking out of a hole of area 1 cm2 at its button. If the height of the water in the tank remains steady, then this height is
A. 5 cm
B. 7 cm
C. 4 cm
D. 9 cm",Since the height of the water column is constant. Water inflow rate (Qin) = Water outflow rate (Qout). Qin = 10-4 m3s-1. Qout = 10-4 x √(2gh). 10-4 = 10-4 x √20 xh. h = (1/20) m = 5 cm. Answer: (a) 5 cm
"A submarine experiences a pressure of 5.05 x106 Pa at depth of d1 in a sea. When it goes further to a depth of d2, it experiences a pressure of 8.08 x 106 Pa. Then d1 – d2 is approximately (density of water = 103 ms-2 and acceleration due to gravity = 10 ms-2)
A. 300 m
B. 400 m
C. 600 m
D. 500 m",P1 = P0 + ρgd1. P2 = P0 + ρgd2. ΔP = P2 – P1 = ρgΔd. (8.08 x 106 – 5.05 x106) = 103 x 10 x Δd. 3.03 x 106 = 103 x 10 x Δd. Δd = 303 m ≈ 300 m. Answer: (a) 300 m
"Water from a pipe is coming at a rate of 100 litres per minute. If the radius of the pipe is 5 cm, the Reynolds number for the flow is of the order (density of water = 1000 kg/m3, coefficient of viscosity of water = 1 mPa s)
A. 103
B. 104
C. 102
D. 106",Reynolds number = ρvd/η. Volume flow rate = v x πr2. v = (100 x 10-3/60) x (1/π x 25 x 10-4). v = (2/3π) m/s. Reynolds number = {(103 x 2 x 10 x 10-2)/(10-3 x 3π)}. ⋍ 2 x 104. Order of 104. Answer : (b) 104
"The top of a water tank is open to the air and its water level is maintained. It is giving out 0.74 m3 water per minute through a circular opening of 2 cm radius in its wall. The depth of the centre of the opening from the level of water in the tank is close to
A. 6.0 m
B. 4.8 m
C. 9.6 m
D. 2.9 m","Here, volumetric flow rate = (0.74/60) = πr2v = (π x 4 x 10-4) x √2gh. ⇒ √2gh =[ (74 x 100)/240π)]. ⇒ √2gh= 740/24π. 2gh = (740/24π)2. h = [(740 x 740)/24 x 24 x 10)] (since π2 =10). h ≈ 4.8 m. Answer: (b) 4.8 m"
"Three charges +Q, q, +Q are placed respectively, at distance 0, d/2 and d from the origin, on the x-axis. If the net force experienced by +Q placed at x = 0 is zero, then value of q is
A. +Q/4
B. –Q/2
C. +Q/2
D. –Q/4","QQ/d2 + Qq/(d/2)2 =0, Q + 4q = 0, or q = -Q/4"
"A parallel plate capacitor having capacitance 12 pF is charged by a battery to a potential difference of 10 V between its plates. The charging battery is now disconnected and a porcelain slab of dielectric constant 6.5 is slipped between the plates. The work done by the capacitor on the slab is
A. 508 pJ
B. 692 pJ
C. 560 pJ
D. 600 pJ","Initial Energy of the capacitor, Ui = (1/2) CV2 = (1/2) x 12pF x 10 x 10 = 600 pJ, After the slab, the energy of the slab, Uf = (1/2) Q2/C’, Q = CV = (12 pF)(10 V) = 120 p C, C’ = kC = 6.5 x 120 x 10-12 F, Therefore, Uf = [(1/2) (120 x 10-12)2]/[6.5 x 120 x 10-12], Uf = 92 pJ, W + Uf= Ui, ⇒ W = Ui – Uf = 600 pJ – 92 pJ = 508 pJ"
"An electric field of 1000 V/m is applied to an electric dipole at an angle of 45°. The value of the electric dipole moment is 10–29 Cm. What is the potential energy of the electric dipole?
A. –10 × 10–29 J
B. –7 × 10–27 J
C. –20 × 10–18 J
D. –9 × 10–20 J","E = 1000 V/m , p = 10-29 cm, θ = 450, Potential energy stored in the dipole, U = -p.Ecos θ = – 10-29 x 1000 x cos450, U = -1/√(2) x 10-26, U = – 0.707 x 10-26 J= -7 x 10 -27 J"
"A solid conducting sphere, having a charge Q, is surrounded by an uncharged conducting hollow spherical shell. Let the potential difference between the surface of the solid sphere and that of the outer surface of the hollow shell be V. If the shell is now given a charge of –4 Q, the new potential difference between the same two surfaces is
A. 4 V
B. V
C. 2 V
D. –2 V","Case 1: Va – Vb = k{(Q/a) – (Q/b)}, Case 2: Va’ = kQ/a + k(-4Q)/b, Vb’ = kQ/b + k(-4Q)/b, Va’- Vb’ = kQ/a – kQ/b = Va– Vb = V"
"Voltage rating of a parallel plate capacitor is 500 V. Its dielectric can withstand a maximum electric field of 106 V m–1. The plate area is 10–4 m2. What is the dielectric constant if the capacitance is 15 pF? (given ε0 = 8.86 × 10–12 C2 N–1 m–2)
A. 3.8
B. 8.5
C. 6.2
D. 4.5","C = Kε0A/d and V = Ed, Or K = CV/ε0AEmax, K = (15 x 10-12 x 500)/(8.86 x 10-12 x 10-4 x 106) = 8.5"
"The bob of a simple pendulum has a mass of 2 g and a charge of 5.0 C. It is at rest in a uniform horizontal electric field of intensity 2000 V m–1. At equilibrium, the angle that the pendulum makes with the vertical is (take g = 10 m s–2)
A. tan–1 (0.2)
B. tan–1 (0.5)
C. tan–1 (2.0)
D. tan–1 (5.0)","The forces acting on the bob are its weight and the force due to field. At equilibrium, Tcosθ = mg ——-(1), Tsinθ = qE ——–(2), Dividing (2) by (1), tanθ = qE/mg, θ = tan-1((5 x 10-6 x 2 x 103) / (2 x 10-3 x 10)) = tan-1(0.5)"
"A parallel plate capacitor has 1 μF capacitance. One of its two plates is given + 2 μC charge and the other plate, +4 μC charge. The potential difference developed across the capacitor is
A. 3 V
B. 2 V
C. 5 V
D. 1 V","Potential difference, V1 – V2 = (E1 – E2)d, V1 – V2 = [(σ1/2ε0) – (σ2/2ε0)]d, V1 – V2 = (q1d/2Aε0) – (q2d/2Aε0) = (4-2)/(2 x 1) = 1 V"
"A capacitor with a capacitance 5 µF is charged to 5 µC. If the plates are pulled apart to reduce the capacitance to 2 µF, how much work is done?
A. 6.25 × 10–6 J
B. 3.75 × 10–6 J
C. 2.16 × 10–6 J
D. 2.55 × 10–6 J","Work done = Uf – Ui = (½)q2/Cf – (½)q2/Ci, Work done = q2/2[1/Cf – 1/Ci], Work done = [(5 x 10-6)2/2][(1/(2 x 10-6)) – (1/(5 x 10-6))], Work done = 3.75 x 10-6 J"
"A parallel plate capacitor of capacitance 90 pF is connected to a battery of emf 20 V. If a dielectric material of dielectric constant K = 5/3 is inserted between the plates, the magnitude of the induced charge will be
A. 1.2 nC
B. 0.3 nC
C. 2.4 nC
D. 0.9 nC","Induced charge on dielectric, Qind = Q(1 – 1/K), Final charge on capacitor, Q = K C0V, Q = (5/3) x 90 x 10-12 x 20 = 3 x 10-9 C = 3nC, Qind = 3(1 – ⅗) = 3 x ⅖ = 1.2 nC"
"The energy stored in the electric field produced by a metal sphere is 4.5 J. If the sphere contains 4 μC charges, its radius will be [Take: (1/4πε0  ) = 9 x 109 Nm2/C2]
A. 32 mm
B. 20 mm
C. 16 mm
D. 28 mm","The energy stored in the electric field produced by a metal sphere = 4.5 J, ⇒ Q2/2C = 4.5 or C = Q2/2 x 4.5, Capacitance of spherical conductor = 4πε0R, 4πε0R = Q2/(2 x 4.5), R = (1/4πε0) x [(4 x 10-6)2/(2 x 4.5)] = 9 x 109 x (16/9) x 10-12 = 16 x 10-3 m = 16 mm"
"There is a uniform electrostatic field in a region. The potential at various points on a small sphere centred at P, in the region, is found to vary between the limits 589.0 V to 589.8 V. What is the potential at a point on the sphere whose radius vector makes an angle of 60° with the direction of the field?
A. 589.2 V
B. 589.6 V
C. 589.5 V
D. 589.4 V","ΔV = E.d, ΔV = Edcosθ = 0.8 x cos 600, ΔV = 0.4, Hence the new potential at the point on the sphere is, 589.0 + 0.4 = 589.4 V"
"Two identical conducting spheres A and B, carry equal charge. They are separated by a distance much larger than their diameters, and the force between them is F. A third identical conducting sphere, C, is uncharged. Sphere C is first touched to A, then to B, and then removed. As a result, the force between A and B would be equal to
A. 3F/8
B. F/2
C. 3F/4
D. F","Initially force between spheres A and B, F = kq2/r, When A and C are touched, charge on both will be q/2, Again C is touched with B the charge on B is given by, qB = ((q/2) + q)/2 = 3q/4, Required force between spheres A and B is given by, F’ = kqAqB/r2 = [k x (q/2) x (3q/4)]/r2 = (⅜)(kq2/r2) = ⅜F"
"A parallel plate capacitor is made of two circular plates separated by a distance of 5 mm and with a dielectric of dielectric constant 2.2 between them. When the electric field in the dielectric is 3 × 104 V/m, the charge density of the positive plate will be close to
A. 6 × 104 C/m2
B. 6 × 10–7 C/m2
C. 3 × 10–7 C/m2
D. 3 × 104 C/m2","Here, K = 2.2 , E = 3 x 104 Vm–1, Electric field between the parallel plate capacitor with dielectric, E = σ/Kε0 ⇒ σ = Kε0E = 2.2 x 8.85 x 10-12 x 3 x 104, E = 6 x 10-7 Cm-2"
"Two capacitors C1 and C2 are charged to 120 V and 200 V, respectively. It is found that by connecting them together the potential on each one can be made zero. Then
A. 9C1 = 4C2
B. 5C1 = 3C2
C. 3C1 = 5C2
D. 3C1 + 5C2 = 0","For potential to be made zero, after connection, 120C1 = 200C2, 6C1 = 10C2, 3C1 = 5C2"
"An electric dipole is placed at an angle of 30º to a non-uniform electric field. The dipole will experience
A. a torque only
B. a translational force only in the direction of the field
C. a translational force only in a direction normal to the direction of the field
D. a torque as well as a translational force","In a non-uniform electric field, the dipole will experience torque as well as a translational force."
"Drift speed of electrons, when 1.5 A of current flows in a copper wire of cross-sectional area 5 mm2 is v. If the electron density of copper is 9 × 1028/m3 the value of v in mm/s is close to (Take charge of electron to be = 1.6 × 10–19 C)
A. 3
B. 0.2
C. 2
D. 0.02","As I = neAvd, vd = I/neA = 1.5/(9 x 1028 x 1.6 x 10-19 x 5 x 10-6), v = 0.02 x 10-3 m/s = 0.02 mm/s"
"Two equal resistances when connected in series to a battery consume electric power of 60 W. If these resistances are now connected in parallel combination to the same battery, the electric power consumed will be
A. 240 W
B. 120 W
C. 60 W
D. 30 W","The power consumed when two resistance are in series combination is V2/2R = 60 W ⇒ V2/R=120 W. When the two resistance are connected in parallel combination, power consumed is 2V2/R = 120(2)= 240 W"
"A current of 2 mA was passed through an unknown resistor which dissipated a power of 4.4 W. Dissipated power when an ideal power supply of 11 V is connected across it is
A. 11 × 10–4 W
B. 11 × 10–5 W
C. 11 × 105 W
D. 11 × 10–3 W","Case (1): As I2R = P, R = P/I2, R = (4.4)/(2 x 10-3)2= 1.1 x 106 Ω. Case (2): P = V2/R = (11)2/(1.1 x 106) = 11 x 10-5 W"
"An ideal battery of 4 V and resistance R are connected in series in the primary circuit of a potentiometer of length 1 m and resistance 5Ω. The value of R, to give a potential difference of 5 mV across 10 cm of potentiometer wire is
A. 490
B. 495
C. 395
D. 480","Let I be the current in the circuit. 4 = (5 + R) I, I = 4/( 5 + R)——-(1). For 1 m the resistance is 5 Ω. For 10 cm the resistance is R10 cm = 5 x (10/100) = 0.5 Ω ——-(2). Δv10 cm = I.R10 cm. According to given condition, 5 x 10-3 = [4/( 5 + R)]  (0.5), 10-2 =[4/( 5 + R)], (5 + R) 10-2 = 4, 5 + R = 400, R = 395"
"A cell of internal resistance r drives current through an external resistance R. The power delivered by the cell to the external resistance will be maximum when
A. R = 0.001 r
B. R = r
C. R = 2r
D. R = 1000 r","The power delivered to resistance is I2R, i.e., P = [ε2/(R + r)2]R. For the maximum power,dP/dR= 0, ⇒ -2R + (R +r) = 0 or R = r"
"A metal wire of resistance 3 is elongated to make a uniform wire of double its previous length. This new wire is now bent and the ends joined to make a circle. If two points on this circle make an angle 60° at the centre, the equivalent resistance between these two points will be
A. (7/2) Ω
B. (5/2) Ω
C. (12/5) Ω
D. (5/3) Ω","R = 3 Ω, R = ρ(l/A) = ρ(l2/V), R ∝ l2, R = 12 Ω (new resistance of wire), R1 = 2 Ω, R2 = 10 Ω, Req = (10 x 2)/ (10 + 2) = 5/3 Ω"
"On interchanging the resistances, the balance point of a meter bridge shifts to the left by 10 cm. The resistance of the combination is 1 kΩ. How much was the resistance on the left slot before the interchange?
A. 990
B. 505
C. 550
D. 910","Let R1 (left slot) and R2 (right slot) be two resistances in two slots of a meter bridge. Initially l be the balancing length, Then, R1/R2 = l/(100 – l)———-(1), R1 + R2 = 1000 Ω———-(2). On interchanging the resistances, balancing length becomes (l – 10), so ( R2/R1)= (l – 10)/(110 – l). Using (1), (100 – l)/l = (l – 10)/(110 – l), 11000 + l2 – 210 l = l2 – 10l, 200 l = 11000, l = 55 cm. From equa (1) R1/R2 = 55/45. Using (2), R1 = (55/45)(1000 – R1), R1 + (55/45)R1 = (1000)x(55/45), 100 R1 = 1000 x 55, R1 = 550 Ω"
"A constant voltage is applied between two ends of a metallic wire. If the length is halved and the radius of the wire is doubled, the rate of heat developed in the wire will be
A. Increased 8 times
B. Unchanged
C. Doubled
D. Halved","Rate of heat developed, P = V2/R. For given V, P ∝ 1/R = A/ρl = πr2/ρl. Now, P1/P2 = (r12/r22)(l2/l1). As per question, l2 = l1/2 and r2 = 2r1, P1/P2 = (¼) x (½) = ⅛, P2 = 8P1"
"A heating element has a resistance of 100 Ω at room temperature. When it is connected to a supply of 220 V, a steady current of 2 A passes in it and the temperature is 500°C more than room temperature. What is the temperature coefficient of resistance of the heating element?
A. 1×10– 4 °C–1
B. 2 × 10– 4 °C–1
C. 0.5 × 10– 4 °C–1
D. 5 × 10– 4 °C–1","Resistance after temperature increases by 500°C, RT = Voltage applied/Current = 220/2 = 110. Also, RT = R0 (1 + αΔT), 110 = 100 (1 + (α x 500)), α = 10/(100 x 500) = 2 x 10-4 0C-1"
"A uniform wire of length l and radius r has a resistance of 100 Ω. It is recast into a wire of radius r/2.The resistance of new wire will be
A. 400 Ω
B. 100 Ω
C. 200 Ω
D. 1600 Ω","Resistance of a wire of length l and radius r is given by R = ρl/A = (ρl/A) x(A/A), R = (ρV/A2) = (ρV/π2r4) (∵ V = Al), i.e., R ∝ 1/r4, R1/R2 =(r2/r1)4. Here, R1 = 100 Ω , r1 = r, r2 = r/2, R2= R1(r1/r2)4 = 16R1 = 1600 Ω"
"A 2 W carbon resistor is colour coded with green, black, red and brown, respectively. The maximum current which can be passed through this resistor is
A. 20 mA
B. 0.4 mA
C. 100 mA
D. 63 mA","The resistance of the resistor is 50 × 102 Ω . So, the maximum current that can be passed through it is √(P/R)= √(2/(50 × 102))A"
"In a large building, there are 15 bulbs of 40 W, 5 bulbs of 100 W, 5 fans of 80 W and 1 heater of 1 kW. The voltage of the electric mains is 220 V. The minimum capacity of the main fuse of the building will be
A. 14 A
B. 8 A
C. 10 A
D. 12 A","Power of 15 bulbs of 40 W = 15 × 40 = 600 W, Power of 5 bulbs of 100 W = 5 × 100 = 500 W, Power of 5 fan of 80 W = 5 × 80 = 400 W, Power of 1 heater of 1 kW = 1000. Total power, P = 600 + 500 + 400 + 1000 = 2500 W. When these combination of bulbs, fans and heater are connected to 220 V mains, current in the main fuse of building is given by I= P/V = 2500/220 = 11.36 A ≈ 12 A"
"If a wire is stretched to make it 0.1% longer, its resistance will
A. increase by 0.05%
B. increase by 0.2%
C. decrease by 0.2%
D. decrease by 0.05%","Resistance of wire R = ρl/A……..(1). On stretching, volume (V) remains constant. So V = Al or A=V/l. Therefore, R = ρl2/V (Using (1)). Taking logarithm on both sides and differentiating we get, ΔR/R = 2Δl/l (Since V and ρ are constants), (ΔR/R)% = (2Δl/l)%. Hence, when the wire is stretched by 0.1% its resistance will increase by 0.2%"
"A thermocouple is made from two metals, antimony and bismuth. If one junction of the couple is kept hot and the other is kept cold then, an electric current will
A. flow from antimony to bismuth at the cold junction
B. flow from antimony to bismuth at the hot junction
C. flow from bismuth to antimony at the cold junction
D. not flow through the thermocouple.",Antimony-bismuth couple is ABC couple. It means that current flows from A to B at a cold junction
"The resistance of a wire is 5 ohm at 50°C and 6 ohm at 100°C. The resistance of the wire at 0°C will be
A. 3 ohm
B. 2 ohm
C. 1 ohm
D. 4 ohm","Rt = R0(1 + αt), Rt  is the resistance of wire at t0 C, R0 is the resistance of wire a 00 C, α is the temperature coefficient of resistance, R50 = R0 [1 + α(50)], And R 100 = R0 [1+ α(100)], Or R50 – R0= R0 α(50) ——-(1), R 100 – R0 = R0 α(100) ——-(2). Dividing (1) by (2), (5 – R0)/((6 – R0) = ½, R0 = 4 ohm"
"A parallel plate capacitor with plates of area 1 m2 each are at a separation of 0.1 m. If the electric field between the plates is 100 N C–1, the magnitude of charge on each plate is (Taken ε0 = 8.85 x 10-12 C2/N m2)
A. 8.85 × 10–10 C
B. 7.85 × 10–10 C
C. 9.85 × 10–10 C
D. 6.85 × 10–10 C",The electric field between two plates is E = σ/ε0 = q/Aε0 ⇒q = EAε0. q = (100)(1)(8.85 x 10-12)= 8.85 × 10–10 C
"The parallel combination of two air filled parallel plate capacitors of capacitance C and nC is connected to a battery of voltage, V. When the capacitors are fully charged, the battery is removed and after that a dielectric material of dielectric constant K is placed between the two plates of the first capacitor. The new potential difference of the combined system is
A. V
B. (n+1)V/(K+n)
C. (nV)/(K+n)
D. V/(K+n)","For parallel combination, Ceq = C + nC = C(n + 1). Charge on capacitor, q = CeqV = CV(n + 1). Now, after removing the battery, dielectric material is placed. Then, Ceq = KC + nC = C(K + n). New potential difference, V’ = q/Ceq =CV(n+1)/C(K+n) = (n+1)V/(K+n)"
